59,60,61,62,60,63,64,65,66,61,67,68,67;67,60,63
13773,13777,13773;14710,14711,13777
14835,14836,14835;14835
2705;2705
9834,14850,9834,14850,9834,14851,9834,14852,14850,9834,14850,9834,14852;9834,14852
14860,14863,14866,14863,14861,14860,14866;14861
14901,14902;14902,14901
15204,15205,15206,15207,15208,15209,15208,15206,15210,15211,15212,15213,15206,15214,15206,15211,15206,15214,15210,15215,15210,15211,15216,6391;15206
2623,15313,14704,14703,14704;14704
15409;15409
15419,3948,11610,15420,15421,15422,15423,15424;15419
15452;15452
13673;13673
12650,15564,15570,15564,15570,3786,15570,6959,3786,15571,15570,15572,12650,15573,15570,3786,9845,15574,3786;15570
15745,15746;15746
3445,15805,15806,14853;3445,15805
5569,3324,5924,3324,5924,3324,5924,3324,5569,13485,5569,3324,13485,5569,13485,8365,5570,5569;5569,3324
16078,16079,16078,16080,16081,4669,16082,16083,16084,1736,16085,16083,16080,16083,1736,16083,1736,16086,16087,16088,16086,16088,16086,16089,16090,16089,4669,15760,13801,16091,16092,16091,1736,16083,16092,16080,13034,13035,13034,16093,16094,16095,16096,16097,13040,16098,13094,16099,16093,16100,16080,16101,16102,16103,16104,16105,16106,5234,16107;4894,16093,16083,16080,1736,16089,16086
16140,16141,16142,3050,16143,3050,16140,3050;16140
262;262
6078;6078
16196,16197;16196
16208,16209;16209
11899;11899
16301,15480,5590,15480;15480
16325,2747,2373,16326,16325,14520,16327,16328,16329,15868,16330,16331,16332,12116,16333,16334,16332,12116,16327,6075,2373,2752,3487,16325,14520,16335,16336,12117,16336,10,16337,6074,16338,463,16339,16340,16339,16341,16329,16342,16343,16336,16327,16336,2752,16336,2752,16336,16327,2936,16328,15868,16344,16345,16346,16347,5324,16348,16334,16349,16344,16350,16349,2738,16351,1066,16352,6078,9050,16353,2752,16354,16355,16356,16357,16358,16336,6074,16327,15868,16359,16345,5324,16327,16359;16359
2929;2929
10244;10244
16024,16520,16024,16520,16024,16521;16521
5023,16664,16665,1634,16666,16667,7884,11309,1660,16658,1660,16658,1660,16658,11309;7884
3149,5165,3149,16689,1363;3149
16708,15922,16025,16024,16025,15922,16024,16709;16709
7863,10026,16808,16809,16808,16810,16811,16812,16813,16814,16815,16814,16816,16817,16816,16818,16814,16819,16820,16821,16822,9909;16823,7863
16825,16826,16825;16825
1455,16828,16829,16830,16831,16832,16828,16830,16828,16833;16828
2117,16835,1382,7487,2446,4670,8387,16836,4288;2446
918,382,17024,16514,17025,17026;17026
17175,8425,8426,8425,17176,1118,17175,8425,17168,17177,17178,1118,17176,17179,17169,4086,17179,17169,4086,135;1118
17249,17255,17256,17257,17256,17257,17256,17257,17258,17257,17256,17258,17256,17259,17260,16279,17261,17262;16279
2476,17278,17279,17278,17279,17280,2740,9051,17281,5320,2919,8372;8372,2740,17280
17418,17419,17418;17418
17455;17455
9275,11305,9275,14226,17582,14226,4488,17583,4488,17583;17583
13157;13157
17913,17914,17915;17915
18129,18130,18129,2144,18131,18129,18132,2144,18133;18129
18161,18162,18163,18164,18163,18165,18163,18164,18162,18164,18166,18167,18168,4353;18162,18164
18180,15353,12385,3964,12385,14725,18181,3964,8134,8135,8132,18180,3964;15353,3964,18180
12187;12187
3149;3149
18530,7306;7306
18551,18552,2717,18551;18551
18556,9937,9935,11352,9937;18556
8521,14768;14768
18674,18675,1468,18676,7469,18677,2033,18678,15238,2491,643,9379,3379,14900,18679,18680,6761,14032,4530,1179,5063,6759,1182,1179,12815,18681,8301,5009,18682,5009,18683,8311,18683,16729,18684;18677
18705,18706,18707,5008,18708,18709;1962,7465,18708,18700,18697
6730,2008,15907,6730,1780,2008,15907,6730,2008,15907,2008,1780,2257,1785,2257,18761,2257,18761,2257,1780,2257;2257,6730,15907
2070,9010,1718,2070,18793,18794,1716,6322,2654,8366,1057,6322,18795,2070,18796,18797,5586,5585,1715,8150,2070;2070
18869;18869
18887;18887
18962,18963,11602,18963,18962,18963;18963
18985;18985
19014,6080,4599,5577,4599,5570,19015,19016,2654,5569,5570,18794,6179,6178,1193,3304,19017,18921;2513,6179,4599,5570,1242,6080,14574
11225,19108,11225,19108,11225;11225
474;474
19268;19268
19316;19316
1729,2738,1729,11027,1729,19318;1729
4424,4426,19332,19333,10348,19334,19333,19332,19333,18735;19335,10348,19333,19334,18735
6659,19503,19504,6553,6659,19491,6659,10370,19505,19491,19506,19507,19508,8437,19507;6659
14130,8145;8145
19926,2057,13026,1414,2057;19926,2057
20003,6089,20003,20004,20003,20005,20003,20006;20003
20025;20025
2565,803,2565,124,803,13196;803
6886,4539,12479,11439,4539;4539
20135,20136,19336,20137,17718,16782,8723,20136,20135,20136,20135,19336,20137,8723,20137,20135,20136,8723,20137,8723,20137,20136,8723,20136,20135,20137,20136,8723;8723
20211,20212,20213,20212,20211,20212,20213,20212,10844,20212,10844,20214,10844,20215,20214,10845,20214,20213,20212,20214,10844;10844
5210,20230,10241,20231,4893,6596,7412,16479,20232,20233,20234;10241,16479,20235
20292,20293,20294,20295;20294
20318,9050,20318,9050;9050,20318
3353,1624,14621,3353,1624,3353;3353
20535;20535
2929;2929
21842,21843,21842;21842
21863,21864,7631,21865,21866,21867,7631,15703;7631
18201,21930,18201;18201
21975,8394,13665;13665
1931,731,1949,2846,1931,1949,22009,22010,22011,22012,22013,22014,22015,22016,22009,22015,22016,1949,22017,22018,22014,22015,22016,22013,22014,22011,22012,22010,22009,22010,1931,22019,7372,1949;1949
2845,2039,22024,22025,2845,1832,9292,2845,10765,7249,2845,15513;9408,22024,2845
17261,9353,18920,9422;17261
2580,2586,2580;2580
22240,22241,22242;22240
22243,22244,22243;22244,22243
22323,12506,4039,17726,17719,17725,4022,22324,10804,22325,17093,22326,8443,22327,22328,8111,8443,17092,17724,17719,22329,4039,22323,8443,8444,17092,17719,17723,17725,17726,17719;17719
20650,10239,20995,22409,21235,10239;10239
14952,1789,14950,22472;22472
4094,22474,22482,22483,22482,4093,4094,22484,4094,4093,22474,4093,4094,4093,22474,22485,4093,22474,4093,22486,4815,22471,11136,22473,11136,22487,22488,22489,22490,22491,22492,22493,21911,22494;11136,4093,22494
21687,10875,22533,10875;10875
2396,4890,10632,8288,1140,4890,1137,1140;1140
22550,13550,22551,22552,22553,13550,22553,2755,17412,9234,7317,17412,9234,7317;13550,22553,22550
13053,22583,22584,22585,17944;17944
10669,13641,5894;5894
22604,22605,1000,2874,13491,21607,19629,999,3154,128,22606,20797,22607,8557,22608,22609,22610,22611,20797,22607,1962,2339,22612,22613,6190,2339,6190,22609,1962,73,331,204,609,2922,3326,127,4940,127,73,204,609,28,2800,6706,1552;2339
184,340,184,182,9285,961,2294,961,2294,881,22615,22616,961,16177,22616,881,22615,22616,191,961,16177,2294,881,2501,1818,140,183;881
22793,22794,22795,11764;11764
22797,22798,22799;22797
1934,1933,1934,1815,1933,9292,1933,9292,1815,1934;1815
22939,446,22939,10263,22939,22940;22940
7611;7611
23068,23069;23068
422;422
23262,23263,23264,23262,23263,23262,23263,23265,23262,987;23265
3051,23309,22791,23310,22791;22791
23341,17654,23341,4393,23341,4393,23341,17654,4393,17654,23341,17654,23341,4393,23341,4393,23341;4393,23341,17654
1852,7948,1852,162,204,23385,162,1852,7726,7230,16444;1852
23398,23399,23398;23398,23400
23415;23415
5569,3288,21926,23474,23475,23476,6176,13284,19328,1309,5569,6799,13284;5569,13284,1309
23538,23539,23540,23539,23540,23541;23539
18140,18141,23604,23605,18141;18141
6975,16067,6975,4441,23621,5469,4441,13408,23622,6975,23622,6975,16067,15336,4441,23623,23624,23625,15653,23626,23627,23628,23629,23628,23630,23631,23632,23633,23634,23635,23636,23637,23638,23639,23640,23641,23636,23632,23628;23624,23642,23625,16067,4441
5913;5913
23771,18943,23772,23773,23772,23771,23774,18943,23771,18943,23771,18943,4053,18944,4053,23771;4053
23847,2017,16580,2017,16581,23848,23847;23847
158;158
20056,158;20056
23903,23904,23905,23906,23903;23903
23968,23969,20998,11913,2721,16541,2726,23970,6543,23971,310,23970,11913,6713,16541,11913,6716,11325;23970,23972
24008,24009;24008
24047,24048,24049,24050,24051,24052,24051,24053,24054,24049,16884,16883;24055,16884,24049,24047,16883,24052
24161,24162,24163,24161;24161
24220,20032,24220,24222,5218,5210,20234,24223,23963,20234,24223,23963,24223,20234,24222,20234,24222,24219;24220,24223,24219
16371,24269,24270;16371
24440,24441,24442,24443,24444,24442,24444,24442;24442
24500,1636,24501,11219;24500
6886,18729,5859,7403;18729
24695,17481,24696,24697,17498,24698;17481
4396,4398,23341,4408,599,24713,2171,23341,24713,4751,23341,24714,24715,23341;23341,4394
21008,9934,21008,1010,20326,5374,5995;5995
24771;24771
4715,24772,24773,24774,24772,24775,24776,24774,24772,24774,4715,24772,4715,21845,10164;24772,4715
10804;10804
17493,24800,24801,24800,24802,12024,24800,24803,24801,24800;24801
24806;24806
918,17089,918;918
4031,4029,4034,8106,4029;12811,4029
25021;25021
25076;25076
25145;25145
7666,6088,7666,25152;25152
25272,5000,25273,25272,25274,25275;25272
21177,4793,21177,4793,21177;21177
20416,20430,13283,20416;20416
6323,25389,6323,25384,7834,8995,6323,25391,25392,25393,25392,25394,25395,25396,25392,25396,25392,3149;25384,6323
3989,16988,25439,25440,25441,25442,9118,14893,25443,25444,25445,16988;16988
6571,2296,6571,2296;2296
25599,25600,25601,25602,25603,25600,25601,25602,25601,25600,25601,25600,25601;25602,25601,25604
10733,25615,10733,25615,10733,25615,10733,25615;25615
2065;2065
5049,10034,17499,25837,25838,12948,25839,4943,23078,18785,14067,4944,17497,17499,25840,25841,15946,18719,25842,18718,25843,25844,25843,25844,25843,25844,25843,25845,17499,25846,25844,12386,10464,15945,15946,25847,25848,24316;17499
10464,25852,12386,25852,10464,25852,10464,25852,10464;10464
16014,25866,16014,25867;25867,16014
734;734
26093,4643;4643
26095,26096,2911,26097,26098,26099,26100;16793,26100,26101
26121;26121
1844,20337,26132,473,363,473,1255,473,166,26132,11434,13269,11434,3282,3437,11434,19678,7726,26133,363,473,363,473,26134,7726,5962,26135,14553,1713,7726,11434,13269,26132,17121,26132,3356,9668,14326,3356,9668,26136,196,26136,26132,26137,11404,10451,26136,26132,20773,26138,1239,26132,11434,26132,18824,26139,18824,26139,18824,26139,18824;26132,7726,11434
22373,26141,22373,784,204,26141,22373,26141;26141,22373
26195;26195
26233,26234,26235,26234;26234
8764,26252,26253,8764,5007,26254;8764
21324;21324
13080,13074,26318,15520,26319,26320,26321,26319,26322,26321,26322,20653,26323,26324,26323,20653,26323,26324,20653;20653
8149;8149
11823,24945,11823,508,3973,508,21738,3973,21738,3973,21738,3973,21738,3973,14160;21738
22713,2198,547,26505,1544,26505,437,2201,22586,2193,2198,26505,3073,3072,2117,7485,3074,1382;547,2193,1544
3889,1058,9082,26614,26615,15754,25052,6457,25052,1058,3889;1058,3889
26723,26724,26725,26726,26725,19939,26727,26381,1314,1318,1312,1314,3410,1316,3410,3680,26728;3410,26727
11037,26806,26807,17086,11037;11037
26674,26817,3180,11037,26818,26819,26816,26819,3785,3180;26819,3785
5780,5332,7324;5780
25942,11414,25942,18748;25942
126,26956,786,6144,786,166;126
27013,4118,27013,6253,27013,27033,5734,27034,16074,5734,9918,8450,5734,15951,27035,27036,16246,16074,27037,8187,5202,1934,8457,4299;5734,16074,5202
12393,14568,2106,8995,2106;2106
27104,14386,21607,27105,22561,27105,27104,18415,27106,16656,27106,27104,982,27106,982,27107,27104,22561,27107,27105,27104,27106;27106
27110,27111,27110;27110
27124,27125,27126,27127,27128,15404,27124,27129,27128,15404,27124,15404,27128,27124;27128,27124
27133,27134;27133
72,158,72,158,27202,158,18636,23398,27203,27204;158
21141;21141
3263,9602;9602
27500,22881;22881
8,4292;4292
21803,8393,21803,20652,8393,21803,8393,20652,21803;21803
3149,27755;3149
27783,27784,27785,25919,27786,27787,26989,9830,19848,27539,27788,6453,26989,5498,27788,27539,27789,14942,5498,6453,26989,6453,27790;27791,27792,27786
11120,300,2500,300,11120;300,11120
19330,15580,27952,27953,27954,27955,27953,27956,27957,27955,27958,27959,27960,27954,27955,27954,27953,27957,20977,27957,27958,27961,10574,10579,27957,27962,27961,27963,27961,27953,27955,10574,27955,10574,27955,10574,27368,10574,12910,10574,1720,2093,1721,11051,10574,27368;10574,27955
21704;21704
2747,15450,16325,2747;2747
16228,4110,16231,4110,28219,4110;4110,28219
28277,28278,28133,28278;28277
11663;11663
23087;23087
28484,27777,8371,27777,8371,27777;8371
11414,28497,11414,28498,25944,5985,25944,5985,28499,5985,28499,5985,7727,12503,26230,9082,12503,7570,20454,19542;28499,5985
28570,9768,9466,28571,25205,11693,4815,28572,7995,28573,28574,11693,25205,28575,28571,4815,11693,25205,10791,9768,1382,9768;25205,11693,4815,28571
28763;28763
519,977,519,977,519;519
14091;14091
6093,5569,3324;5569,3324
28893,2013,2016,22757,2016,2013,2016,2013,28893,2013;2013
18198,28921,1651,1656,1651,4436,28922,28923,28924,28925,28926,28927,28750,28928,28929,28930,28929,28931,28932,20185,28933,11236,28932,28931,28934,1651,2040,1651,6375,1650,1648,2595,12865,14203,12863,28935,25220,28936,27097,2595,12863,28937,12863,28935,28937,15169,28938,3058,28931;28931,28923,1651,28934
215,5049,215,5049,215;215
5501;5501
29046;29046
2457,5085,29458,29459,29460,29459;23471
6323;6323
22199,29637,29638,22199,29639,29640,29641,29642,29641,29643,29640,29644,29645,29646,29647,29648,29649,29650,29651,9272,29652,29653,29654,13661,29655,29656,29641,29642,29641,29642,29641,29642,29657,29642,29658,29640,29643,29644,29646,29648,29649,20164,29651,20161,29650,29651,29648,29649,20161,20164,29659,20166,20163,20168,29660,29661;29644,20168,29642
20917,1502,20917,21605,1502,20917,21605,2861,1431,20917,2861;2861
3569,29699,7081,2180,18853,13404;29673,4408,29694,29670
29795;29795
29840,355,3507,825,3507,5735,3507,14142,9871,3509,29841;3509
13019,158,29874,4795,29872,1852,3294;29872
16905,3916,16905,30072,16905,30072;30072
10897,30134,27594,23832,25197,30135,25197,1334,30136;25197
6571,882,1821,302,1818,6569,1821,302,4560,1821,302,2947,2766,2568,6571,1821,6,1821,302,1821,4560,302,1821,30141,30140,30142;6
30145,30147,30148,30149;30149
30227,30228,30227,30228;30228,30227
5780,21714,19404,1334,15031,4903,10494,1323,114,258,1011,21714,13037;1011,21714
30243,6847,3100,13430,3100,4062,8263,3608,2736,3605,601,3608,3612,4062,11462,4062,11462,4062,11462,30244,11462,30244;11462
30252,30266,30267,3853,28820,15127,20119,30266,30268,30266,3853,30266,3853,20119,3853,30266,20119,3853,20119,3853;20119,3853
30280,9114,16742,30281,30282,30283,8286,27967,17138,30284,30285,30286,16742,30283,16742,7406,30286,16742,30286;16742
30307,25695,30307,25695,30307,30308,30307,30309,30310;30307
30357,30358,30359,30357;30357
5962,30376,29614,5962,30377;30376,5962
30448,30421,30439,30421,30415,20604,30471,20604,30415,14752,2328,30421,30439,30421,28876,14636,12114,1722,15025,15027,30472,19613,4864,19613,16880,26105,13280,30473,13280,30473,13280,30474,30475,30476,30477,30476,18862,30478,30479,30478,30476,30478,30479,30480,30481,10111,30482,5371,28876;28876,30448,30421
30526,30527,30528,30529,30526;30526
18737,4540,5858,6992,5858,7552;18737,7552
30725,30726,30725;30725
30796,13106,1315;3410,1315,1316
1871,8,1871,8,1871,12718,1871,30815,30816,18788;12718,1871
30865,30866,30867,30868,30869,30870,27608,30871,27608,30871,25407,30872,25407,30873,25407,30874,25407,30872,25407,27608,30871,30875,30871,30875,30871,10152,25407,27608,30871,30876,30877,30876,30878,30876,30879,30876,30880,25407,30881,25407;30866,30882,30883,30865,30884,30885
326,325,11746,326,2965,11746,11438,3326,15653,11746;11746
30942,30943,30944,30945,12765;14223
6625,11037,15466,4769,30980,5017,30980;29871,30981
30723,31074,31075,31076,31074,31077;30723
31092,31093,31092;31093,31092
31136,31137,4396,4399,4396,31137,4399;4396,4399
31140,16855,2206,16855,31140;31140
31246,31318,31246;31246
31323,17498,31323,17498,10032;17498
21313,31351,31238,4173,31353;9007,31350,31351,8338,31352,14854,18749,8340,14853,31239
31373,31374,31375,31374,31373,31376,31373,12998,21688,31374,31377,31375,31378,31373;31373
31478,31479,31480,31481,31482,31481,31482,31483,31484,31483,31482,31485,31486,31487,31484,31488,31479,31484,31479,31483,31479,31489,31483,31482,31478,31483,31484,31483,31489,31479,31483,31490,14893,16987,31491,31492,31493,31494,31493,31495,7876,6816,31496,1588,31497,31498,31478,14518,758,31499,16343,11488,3011,4896,31478,31500,31478,31501;31483,31478
7461,545,32069;73,7461,545
10868,5151,10868;10868
32220,32221;14565,32221
31334,32225;32225
10030,44,10030,44,32260,10030;44
32265,32266;32266
32339,32340,9719,30269,32341,32342,32343;32339
32348,32349,32350,32348,10602,29228,32351,32352,29228,32351,32353,32354,32353,32354;32354
9380,138,9380,138,5857,7636,138,21389,138;138
13427;13427
3783,16785,13824,13770,13824,3784,12226,13772,833,3784,6698,5780;3784
18063,6890,14964,14965,32460,18071,17378,32461,18071,17378,18071,14964,18071,14965,18071;18071
24581,10619,24581,10619;10619
32865,6176,32866,6159,17047,9292,18125,29025,38,32855,31573,32858,15337,32858,15337,32857,32858,15337,32857,32855,31573,29025,32867,32868,32869,3917,17291,32870,3055,32871,32872,32873,32874,32875,22879,32876,32502,32877,32878,32879,32880;38,31573,32855
33036;33036
16226;16226
21175,33052,16355,32386,30573,33053,16355,33052,20667,21175,16355,20667;21175
33099,33100;33099,33100,33101
19007;19007
301,11105,17391,301,17391,8769,4561,137,7424,877,7425,4239,2958,7426,7425,4239,7426,7,8,1871,3868,1871,3868,7424,339,2951,7428,2951,7428,2951,339,2951,7428,26203,3868,2951,7428,8,1871,2951,7428,1871,3868,8,1868,8,1871,8,7428,3866,8;1871,17391
11005,20783;20783
33170,4194,28715,33171,4208,14773,4208,14773,4208,4180,4194,4199,33172,33173,15194,33174,33175,33176,33177,33178,4179,33179,33176;4194,4208,33180,33176
8136,6935,8136;8136
1083,15587,1083,805,808,3698,5000,33324,551,4540,1475,10414,11612,31147;808
32263;32263
2873;2873
18339,30058,17724,2994,8021,10806,4034,4029,8111,6703,2993,2245,591,19640,8596,10381,4573,33430;2245,19640
33459,33460,33459;33459
31946,33507,31946;31946
33531,2623,31333,33532,33533,33534;33534
33548,23093,33549,33550,29928,12945,20230,29912,12941,33551,21379,20230,33550,11986,33552,1401,10177,1401,10177,14269,6959,9031,5218,20728,19858,27547,26810,5218,29967,21774,26810,29967,9031,21258,19729,26810,27438,26810,9031,29967;20230
23006,33595,33596,33597,17872,33598,33599,24700,33600;23006
21395,5866,33745,33746,33745,33747,22461,33748,33749,7900;33745
33795,33799,33793,33797,33800,33799,33802;33793
7613,1116,1683,1116;7613
29589,19140,33909,33910,33911,33912;33909,33911
14852,16303,14852,12651,14852,12651,14852,19839,14852,14851,14852;14852
34009,15632,7473,34010,1687,34011,34012,34013,34010,34014,34013,34014,34010,34015,34010,34013;34010
20600,18463,20601;20600
260,259,115,1728,255,114,2630,5438,4743,5438,2292,2630,114,1728,114,2630,1728,2630,1728,259,1728,259,1728,259,1728;1728
1813,1934,14456;1934,14456
2728;2728
34452,34453,34452,34454,34452,32159,3401;34452
1346,3855,2629,3855,374,15971,374,15971,374,3406,3181;3855
34492,8663,25111,34493,25111,25108,15507,34494,25111,34494,25111,15507,34494,15507,34494,15507,34493,15507,25111,15507,34493,34494,34493,8663,34493,34494,25111;34492,25111
8597,34555,26652,19638,11134,8596,19640;19640
34606,34607;34607
34621,34622,24629,34623,34622;34622
5907;5907
25941,25940,25941,25940,26172,18714;25941
6716,34675,34676,8269,11894,2732,11894,2720,3871,17601,6717,11912,2730,34677,11894,2722,11324,34678,2729;2729
29573,34937,29573;29573
2316,2261;2316
